accountsservice 0.6.55-1
texlive-pstricks 2019.52550-1
texlive-publishers 2019.52538-1
texlive-science 2019.52582-1
tk 8.6.10-1
tlp 1.3.1-2
trash 1.5-1
tree 1.8.0-1
ttf-bitstream-vera 1.10-12
ttf-dejavu 2.37-2
ttf-droid 20121017-7.2
ttf-font-awesome 5.12.1-1
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-iosevka-ss04 2.3.3-1
ttf-iosevka-term-ss04 2.3.3-1
ttf-liberation 2.1.0-1
ttf-menlo-powerline-git r6.07e91f6-1
ttf-meslo 1.2.1-1
udiskie 2.1.0-1
unclutter 1:1.5-1
upower 0.99.11-1
usbutils 012-2
util-linux 2.35.1-1.1
vertex-maia-themes 20180519-4
vi 1:070224-4
vibrancy-icons-teal 2.7-1
viewnior 1.7-2
vim 8.2.0343-1
vlc 3.0.8-10
volumeicon 0.5.1-4
vulkan-intel 19.3.5-1
vulkan-radeon 19.3.5-1
w3m 0.5.3.git20190105-1
wallpapers-juhraya 1.1-2
wget 1.20.3-2
which 2.21-5
wmutils 1:1.4-1
wpa_supplicant 2:2.9-7
xarchiver 0.5.4.14-1
xautolock 2.2-5
xclip 0.13-2
xcursor-chameleon-pearl 0.5-4
xcursor-maia 20160417-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdo 0.5.7-1
xdotool 3.20160805.1-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-1
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.1.0-1
xf86-video-ati 1:19.1.0-1
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-nouveau 1.0.16-1
xfburn 0.6.1-1
xfsprogs 5.4.0-1
xorg-server 1.20.7-1
xorg-twm 1.0.10-1
xorg-xbacklight 1.2.3-1
xorg-xev 1.2.3-1
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xkill 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xwininfo 1.1.5-1
xprintidle 0.2.2-2
xterm 353-1
xz 5.2.4-2
yad 5.0-1
yay 9.4.6-1
zensu 0.1-1
zip 3.0-8
zoom 3.5.361976.0301-1
zsh 5.8-1
